student_code,full_name,email,faculty,cohort,is_active
73474331,"Sinh viên 474330-1",not-an-email,CNTT,2020,false
73474332,"Sinh viên 474330-2",sv474330-2@student.edu.vn,KTPM,2021,true
73474333,"Sinh viên 474330-3",sv474330-3@student.edu.vn,KHMT,2022,true
73474334,"Sinh viên 474330-4",sv474330-4@student.edu.vn,CNTT,2023,true
73474335,"Sinh viên 474330-5",sv474330-5@student.edu.vn,KTPM,2024,true
73474336,"Sinh viên 474330-6",sv474330-6@student.edu.vn,KHMT,2020,true
73474337,"Sinh viên 474330-7",sv474330-7@student.edu.vn,CNTT,2021,true
73474338,"Sinh viên 474330-8",sv474330-8@student.edu.vn,KTPM,2022,false
73474339,"Sinh viên 474330-9",sv474330-9@student.edu.vn,KHMT,2023,true
73474340,"Sinh viên 474330-10",sv474330-10@student.edu.vn,CNTT,2024,true
73474341,"Sinh viên 474330-11",sv474330-11@student.edu.vn,KTPM,2020,true
73474342,"Sinh viên 474330-12",sv474330-12@student.edu.vn,KHMT,2021,true
73474343,"Sinh viên 474330-13",sv474330-13@student.edu.vn,CNTT,2022,true
73474344,"Sinh viên 474330-14",sv474330-14@student.edu.vn,KTPM,2023,true
73474345,"Sinh viên 474330-15",sv474330-15@student.edu.vn,KHMT,2024,false
73474346,"Sinh viên 474330-16",sv474330-16@student.edu.vn,CNTT,2020,true
73474347,"Sinh viên 474330-17",sv474330-17@student.edu.vn,KTPM,2021,true
73474348,"Sinh viên 474330-18",sv474330-18@student.edu.vn,KHMT,2022,true
73474349,"Sinh viên 474330-19",sv474330-19@student.edu.vn,CNTT,2023,true
73474350,"Sinh viên 474330-20",sv474330-20@student.edu.vn,KTPM,2024,true
73474351,"Sinh viên 474330-21",not-an-email,KHMT,2020,true
73474352,"Sinh viên 474330-22",sv474330-22@student.edu.vn,CNTT,2021,false
73474353,"Sinh viên 474330-23",sv474330-23@student.edu.vn,KTPM,2022,true
73474354,"Sinh viên 474330-24",sv474330-24@student.edu.vn,KHMT,2023,true
73474355,"Sinh viên 474330-25",sv474330-25@student.edu.vn,CNTT,2024,true
73474356,"Sinh viên 474330-26",sv474330-26@student.edu.vn,KTPM,2020,true
73474357,"Sinh viên 474330-27",sv474330-27@student.edu.vn,KHMT,2021,true
73474358,"Sinh viên 474330-28",sv474330-28@student.edu.vn,CNTT,2022,true
73474359,"Sinh viên 474330-29",sv474330-29@student.edu.vn,KTPM,2023,false
73474360,"Sinh viên 474330-30",sv474330-30@student.edu.vn,KHMT,2024,true
73474361,"Sinh viên 474330-31",sv474330-31@student.edu.vn,CNTT,2020,true
73474362,"Sinh viên 474330-32",sv474330-32@student.edu.vn,KTPM,2021,true
73474363,"Sinh viên 474330-33",sv474330-33@student.edu.vn,KHMT,2022,true
73474364,"Sinh viên 474330-34",sv474330-34@student.edu.vn,CNTT,2023,true
73474365,"Sinh viên 474330-35",sv474330-35@student.edu.vn,KTPM,2024,true
73474366,"Sinh viên 474330-36",sv474330-36@student.edu.vn,KHMT,2020,false
73474367,"Sinh viên 474330-37",sv474330-37@student.edu.vn,CNTT,2021,true
73474368,"Sinh viên 474330-38",sv474330-38@student.edu.vn,KTPM,2022,true
73474369,"Sinh viên 474330-39",sv474330-39@student.edu.vn,KHMT,2023,true
73474370,"Sinh viên 474330-40",sv474330-40@student.edu.vn,CNTT,2024,true
73474371,"Sinh viên 474330-41",not-an-email,KTPM,2020,true
73474372,"Sinh viên 474330-42",sv474330-42@student.edu.vn,KHMT,2021,true
73474373,"Sinh viên 474330-43",sv474330-43@student.edu.vn,CNTT,2022,false
73474374,"Sinh viên 474330-44",sv474330-44@student.edu.vn,KTPM,2023,true
73474375,"Sinh viên 474330-45",sv474330-45@student.edu.vn,KHMT,2024,true
73474376,"Sinh viên 474330-46",sv474330-46@student.edu.vn,CNTT,2020,true
73474377,"Sinh viên 474330-47",sv474330-47@student.edu.vn,KTPM,2021,true
73474378,"Sinh viên 474330-48",sv474330-48@student.edu.vn,KHMT,2022,true
73474379,"Sinh viên 474330-49",sv474330-49@student.edu.vn,CNTT,2023,true
73474380,"Sinh viên 474330-50",sv474330-50@student.edu.vn,KTPM,2024,false
73474381,"Sinh viên 474330-51",sv474330-51@student.edu.vn,KHMT,2020,true
73474382,"Sinh viên 474330-52",sv474330-52@student.edu.vn,CNTT,2021,true
73474383,"Sinh viên 474330-53",sv474330-53@student.edu.vn,KTPM,2022,true
73474384,"Sinh viên 474330-54",sv474330-54@student.edu.vn,KHMT,2023,true
73474385,"Sinh viên 474330-55",sv474330-55@student.edu.vn,CNTT,2024,true
73474386,"Sinh viên 474330-56",sv474330-56@student.edu.vn,KTPM,2020,true
73474387,"Sinh viên 474330-57",sv474330-57@student.edu.vn,KHMT,2021,false
73474388,"Sinh viên 474330-58",sv474330-58@student.edu.vn,CNTT,2022,true
73474389,"Sinh viên 474330-59",sv474330-59@student.edu.vn,KTPM,2023,true
73474390,"Sinh viên 474330-60",sv474330-60@student.edu.vn,KHMT,2024,true
73474391,"Sinh viên 474330-61",not-an-email,CNTT,2020,true
73474392,"Sinh viên 474330-62",sv474330-62@student.edu.vn,KTPM,2021,true
73474393,"Sinh viên 474330-63",sv474330-63@student.edu.vn,KHMT,2022,true
73474394,"Sinh viên 474330-64",sv474330-64@student.edu.vn,CNTT,2023,false
73474395,"Sinh viên 474330-65",sv474330-65@student.edu.vn,KTPM,2024,true
73474396,"Sinh viên 474330-66",sv474330-66@student.edu.vn,KHMT,2020,true
73474397,"Sinh viên 474330-67",sv474330-67@student.edu.vn,CNTT,2021,true
73474398,"Sinh viên 474330-68",sv474330-68@student.edu.vn,KTPM,2022,true
73474399,"Sinh viên 474330-69",sv474330-69@student.edu.vn,KHMT,2023,true
73474400,"Sinh viên 474330-70",sv474330-70@student.edu.vn,CNTT,2024,true
73474401,"Sinh viên 474330-71",sv474330-71@student.edu.vn,KTPM,2020,false
73474402,"Sinh viên 474330-72",sv474330-72@student.edu.vn,KHMT,2021,true
73474403,"Sinh viên 474330-73",sv474330-73@student.edu.vn,CNTT,2022,true
73474404,"Sinh viên 474330-74",sv474330-74@student.edu.vn,KTPM,2023,true
73474405,"Sinh viên 474330-75",sv474330-75@student.edu.vn,KHMT,2024,true
73474406,"Sinh viên 474330-76",sv474330-76@student.edu.vn,CNTT,2020,true
73474407,"Sinh viên 474330-77",sv474330-77@student.edu.vn,KTPM,2021,true
73474408,"Sinh viên 474330-78",sv474330-78@student.edu.vn,KHMT,2022,false
73474409,"Sinh viên 474330-79",sv474330-79@student.edu.vn,CNTT,2023,true
73474410,"Sinh viên 474330-80",sv474330-80@student.edu.vn,KTPM,2024,true
73474411,"Sinh viên 474330-81",not-an-email,KHMT,2020,true
73474412,"Sinh viên 474330-82",sv474330-82@student.edu.vn,CNTT,2021,true
73474413,"Sinh viên 474330-83",sv474330-83@student.edu.vn,KTPM,2022,true
73474414,"Sinh viên 474330-84",sv474330-84@student.edu.vn,KHMT,2023,true
73474415,"Sinh viên 474330-85",sv474330-85@student.edu.vn,CNTT,2024,false
73474416,"Sinh viên 474330-86",sv474330-86@student.edu.vn,KTPM,2020,true
73474417,"Sinh viên 474330-87",sv474330-87@student.edu.vn,KHMT,2021,true
73474418,"Sinh viên 474330-88",sv474330-88@student.edu.vn,CNTT,2022,true
73474419,"Sinh viên 474330-89",sv474330-89@student.edu.vn,KTPM,2023,true
73474420,"Sinh viên 474330-90",sv474330-90@student.edu.vn,KHMT,2024,true
73474421,"Sinh viên 474330-91",sv474330-91@student.edu.vn,CNTT,2020,true
73474422,"Sinh viên 474330-92",sv474330-92@student.edu.vn,KTPM,2021,false
73474423,"Sinh viên 474330-93",sv474330-93@student.edu.vn,KHMT,2022,true
73474424,"Sinh viên 474330-94",sv474330-94@student.edu.vn,CNTT,2023,true
73474425,"Sinh viên 474330-95",sv474330-95@student.edu.vn,KTPM,2024,true
73474426,"Sinh viên 474330-96",sv474330-96@student.edu.vn,KHMT,2020,true
73474427,"Sinh viên 474330-97",sv474330-97@student.edu.vn,CNTT,2021,true
73474428,"Sinh viên 474330-98",sv474330-98@student.edu.vn,KTPM,2022,true
73474429,"Sinh viên 474330-99",sv474330-99@student.edu.vn,KHMT,2023,false
