student_code,full_name,WRONG,faculty,cohort,is_active
21120001,"Sinh viên 1",sv1@student.edu.vn,CNTT,2020,false
21120002,"Sinh viên 2",sv2@student.edu.vn,KTPM,2021,true
21120003,"Sinh viên 3",sv3@student.edu.vn,KHMT,2022,true
21120004,"Sinh viên 4",sv4@student.edu.vn,CNTT,2023,true
21120005,"Sinh viên 5",sv5@student.edu.vn,KTPM,2024,true
21120006,"Sinh viên 6",sv6@student.edu.vn,KHMT,2020,true
21120007,"Sinh viên 7",sv7@student.edu.vn,CNTT,2021,true
21120008,"Sinh viên 8",sv8@student.edu.vn,KTPM,2022,false
21120009,"Sinh viên 9",sv9@student.edu.vn,KHMT,2023,true
21120010,"Sinh viên 10",sv10@student.edu.vn,CNTT,2024,true
21120011,"Sinh viên 11",sv11@student.edu.vn,KTPM,2020,true
21120012,"Sinh viên 12",sv12@student.edu.vn,KHMT,2021,true
21120013,"Sinh viên 13",sv13@student.edu.vn,CNTT,2022,true
21120014,"Sinh viên 14",sv14@student.edu.vn,KTPM,2023,true
21120015,"Sinh viên 15",sv15@student.edu.vn,KHMT,2024,false
21120016,"Sinh viên 16",sv16@student.edu.vn,CNTT,2020,true
21120017,"Sinh viên 17",sv17@student.edu.vn,KTPM,2021,true
21120018,"Sinh viên 18",sv18@student.edu.vn,KHMT,2022,true
21120019,"Sinh viên 19",sv19@student.edu.vn,CNTT,2023,true
21120020,"Sinh viên 20",sv20@student.edu.vn,KTPM,2024,true
21120021,"Sinh viên 21",sv21@student.edu.vn,KHMT,2020,true
21120022,"Sinh viên 22",sv22@student.edu.vn,CNTT,2021,false
21120023,"Sinh viên 23",sv23@student.edu.vn,KTPM,2022,true
21120024,"Sinh viên 24",sv24@student.edu.vn,KHMT,2023,true
21120025,"Sinh viên 25",sv25@student.edu.vn,CNTT,2024,true
21120026,"Sinh viên 26",sv26@student.edu.vn,KTPM,2020,true
21120027,"Sinh viên 27",sv27@student.edu.vn,KHMT,2021,true
21120028,"Sinh viên 28",sv28@student.edu.vn,CNTT,2022,true
21120029,"Sinh viên 29",sv29@student.edu.vn,KTPM,2023,false
21120030,"Sinh viên 30",sv30@student.edu.vn,KHMT,2024,true
21120031,"Sinh viên 31",sv31@student.edu.vn,CNTT,2020,true
21120032,"Sinh viên 32",sv32@student.edu.vn,KTPM,2021,true
21120033,"Sinh viên 33",sv33@student.edu.vn,KHMT,2022,true
21120034,"Sinh viên 34",sv34@student.edu.vn,CNTT,2023,true
21120035,"Sinh viên 35",sv35@student.edu.vn,KTPM,2024,true
21120036,"Sinh viên 36",sv36@student.edu.vn,KHMT,2020,false
21120037,"Sinh viên 37",sv37@student.edu.vn,CNTT,2021,true
21120038,"Sinh viên 38",sv38@student.edu.vn,KTPM,2022,true
21120039,"Sinh viên 39",sv39@student.edu.vn,KHMT,2023,true
21120040,"Sinh viên 40",sv40@student.edu.vn,CNTT,2024,true
21120041,"Sinh viên 41",sv41@student.edu.vn,KTPM,2020,true
21120042,"Sinh viên 42",sv42@student.edu.vn,KHMT,2021,true
21120043,"Sinh viên 43",sv43@student.edu.vn,CNTT,2022,false
21120044,"Sinh viên 44",sv44@student.edu.vn,KTPM,2023,true
21120045,"Sinh viên 45",sv45@student.edu.vn,KHMT,2024,true
21120046,"Sinh viên 46",sv46@student.edu.vn,CNTT,2020,true
21120047,"Sinh viên 47",sv47@student.edu.vn,KTPM,2021,true
21120048,"Sinh viên 48",sv48@student.edu.vn,KHMT,2022,true
21120049,"Sinh viên 49",sv49@student.edu.vn,CNTT,2023,true
21120050,"Sinh viên 50",sv50@student.edu.vn,KTPM,2024,false
